title;num_pages;isbn;year_edition
JURAMENTADA (SAGA EL ARCHIVO DE LAS TORMENTAS 3);1408;9788417347000;2018
LA VIDA INVISIBLE DE ADDIE LARUE;504;9788416517374;2020
EL OJO DEL MUNDO (LA RUEDA DEL TIEMPO Nº 1);832;9788445007006;2019
EL MAPA DE LAS ISLAS;256;9788419172105;2022
ENHORABUENA POR TU FRACASO (EJEMPLAR FIRMADO POR EL AUTOR);224;2910025142747;2022
LA FRONTERA INVISIBLE;320;9788401027345;2022
ESCUADRON CIELO: LA COLECCION;696;9788418037757;2022
EL IMPERIO FINAL (NACIDOS DE LA BRUMA-MISTBORN) (ED. ILUSTRADA);672;9788418037214;2021
ENHORABUENA POR TU FRACASO;224;9788418051197;2022
MONA LISA ACELERADA Nº 03/03 TRILOGIA DE SPRAWL;328;9788445009420;2022
CRONICAS DE LA DRAGONLANCE Nº 01/03 EL RETORNO DE LOS DRAGONES;528;9788445011041;2022
CRONICAS DE LA DRAGONLANCE Nº 02/03 LA TUMBA DE HUMA;528;9788445011102;2022
EL HEROE DE LAS ERAS (SAGA NACIDOS DE LA BRUMA 3);760;9788466658911;2016
LA CITA;104;9788418451812;2021
EL HEROE DE LAS ERAS (NACIDOS DE LA BRUMA-MISTBORN [EDICION ILUST RADA] 3);760;9788418037290;2021
VEINTICUATRO HORAS EN EL MADRID DE GALDOS;149;9788492628902;2010
LA MALDICION DE HILL HOUSE;272;9788494836695;2019
EXHALACION;348;9788417517793;2020
EL RITMO DE LA GUERRA (EL ARCHIVO DE LAS TORMENTAS 4);1408;9788417347932;2020
SINSONTE;360;9788418668371;2022
TIEMPO DE ODIO (SAGA GERALT DE RIVIA 4) (EDICION COLECCIONISTA);272;9788498890532;2010
CRONICAS DE LA DRAGONLANCE Nº 03/03 LA REINA DE LA OSCURIDAD;496;9788445011164;2022
EL SILMARILLION (TAPA DURA LUJO);416;9788445073810;2002
CANTA IRLANDA: UN VIAJE POR EL EYRE;384;9788401346873;2014
EL POZO DE LA ASCENSION (NACIDOS DE LA BRUMA-MISTBORN (EDICION ILUSTRADA 2);784;9788418037276;2021
ACADEMIA DE MADRES: EL ORIGEN;200;9788427049697;2022
LA CAIDA DE GONDOLIN;326;9788445006092;2019
EL ASCENSO DE LA SOMBRA (LA RUEDA DEL TIEMPO Nº 04);1056;9788445007037;2020
LOS HIJOS DE HURIN;304;9788445006498;2019
STAR WARS EL LIBRO DE LOS SITH;160;9788445005798;2021
LA HISTORIA DE TU VIDA;336;9788498891355;2021
EL IMPERIO FINAL (SAGA NACIDOS DE LA BRUMA 1);688;9788417347291;2018
BINTI: HOGAR;196;9788494795848;2018
ARCANUM ILIMITADO: LA COLECCION DEL COSMERE;784;9788466662321;2017
STAR WARS LAS GUERRAS DE LOS CAZARRECOMPENSAS Nº 2/3 NAVE ESCLAVA (NOVELA);288;9788411121477;2022
UN PASEO POR EL MUNDO;624;9788418227158;2021
LOS SEIS DE ATLAS;480;9788416517817;2022
LA COSTA MAS LEJANA;288;9788445012123;2022
LA ESPADA DEL DESTINO (SAGA GERALT DE RIVIA 2) (EDICION COLECCION ISTA);288;9788498890433;2010
