10 * 12 13 14 * 16 17 18 19 20 21 * 23 24 25 26 * 28 * 30 31 * 1 * 3 4 5 6 7 8 9 
32 1 2 3 4 5 6 7 8 9 10 * * 13 * * * 17 18 19 * 21 22 23 24 25 * 27 28 29 30 31 
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 * 30 * 32 1 2 3 4 5 6 * 
4 * 6 7 * 9 10 11 * 13 14 * 16 17 18 19 * 21 22 23 24 25 * 27 28 29 30 31 32 1 2 3 
2 3 4 5 6 7 8 * 10 * 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 * 28 29 30 31 32 1 
13 14 15 16 17 18 19 20 21 22 * * 25 26 * 28 29 30 31 32 1 * 3 4 5 6 7 8 * 10 11 12 
29 30 31 32 1 2 3 * 5 6 7 * 9 10 11 12 13 14 15 16 17 * 19 20 * 22 23 24 25 26 27 28 
3 4 5 6 7 8 * 10 11 12 13 * 15 16 17 18 19 * 21 22 23 24 25 26 * 28 29 * * 32 * 2 
* 15 16 17 18 * 20 21 * 23 24 25 26 27 28 * 30 31 * 1 2 3 4 5 * * 8 9 10 * 12 * 
17 18 19 20 21 22 23 24 25 26 27 28 * 30 31 32 1 2 3 4 5 6 7 * * 10 11 12 13 14 15 16 
* 6 7 8 * 10 * 12 13 14 15 16 17 18 19 * 21 22 23 24 25 26 27 * * 30 31 32 * * 3 4 
25 26 * 28 29 30 31 32 * 2 3 4 5 6 7 8 * 10 11 12 13 * 15 16 17 18 19 * 21 22 23 * 
31 32 1 * 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 * * 20 21 22 23 24 * * 27 28 29 30 
12 13 14 * 16 17 18 19 * 21 22 * * 25 * 27 28 29 30 * 32 1 2 3 * 5 6 * * 9 10 * 
9 10 11 12 13 14 15 * 17 18 19 20 * * 23 24 25 26 * * 29 30 31 32 * 2 3 4 5 6 7 8 
* 2 * 4 5 6 7 8 9 10 11 * 13 * 15 16 17 18 19 20 21 * 23 24 25 26 27 28 29 30 31 32 
15 16 17 18 19 20 21 22 23 24 25 * 27 28 29 30 * * 1 2 3 * * 6 7 * 9 10 * 12 13 14 
16 17 18 * 20 21 22 23 24 * 26 27 28 29 30 * 32 1 2 3 4 * 6 * 8 9 10 11 12 13 * 15 
19 20 21 22 23 24 25 26 * 28 29 30 31 32 1 * * 4 5 * 7 8 9 10 11 * 13 14 15 16 17 18 
27 28 * 30 31 32 * 2 3 4 5 6 7 8 9 * 11 12 13 * 15 16 17 18 19 20 * 22 23 24 25 26 
28 29 30 31 32 1 * 3 4 5 6 7 8 9 * * 12 13 14 * 16 17 18 19 20 21 * 23 24 25 26 27 
30 31 32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 * 17 18 19 * * 22 23 24 25 26 27 28 29 
20 21 * 23 24 25 26 27 28 29 30 31 32 1 2 3 4 5 6 7 * 9 10 11 12 13 14 15 * 17 18 * 
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 * 29 * 31 32 1 2 3 * 5 
26 27 28 29 30 31 32 1 2 3 4 5 6 7 * 9 10 11 12 13 14 15 * 17 18 19 20 21 22 23 24 25 
11 * 13 14 * 16 * * 19 20 21 22 23 24 25 26 27 28 29 30 31 * 1 2 3 4 5 6 7 * 9 10 
21 22 * 24 25 26 27 28 * 30 * 32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 * 
23 24 25 * * 28 29 * * 32 * 2 3 4 5 6 7 8 * 10 11 12 13 14 * 16 17 18 19 20 21 22 
24 25 26 27 * 29 30 * 32 1 2 3 4 5 6 * * 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
* 8 * 10 * 12 13 * 15 16 17 18 19 20 * * 23 24 25 26 27 28 29 30 31 32 1 2 * 4 * 6 
18 19 20 21 22 23 24 25 * 27 28 29 30 * 32 * 2 3 4 5 * * * 9 10 11 12 13 * 15 16 * 
22 23 * * 26 27 28 * 30 31 * * * * 4 5 6 7 8 9 10 11 12 * 14 15 16 17 * 19 * * 
