* * * * * * * 68 * 70 71 * * 74 * * 77 78 * * 81 * 83 84 * * * 88 89 * * 92 93 * 95 * 97 * * 100 * * * 4 5 6 7 * * * 11 12 * * 15 * 17 18 * * * 22 23 * * * 27 * * * * * 33 34 35 * 37 * 39 * * 42 * * * * * 48 * * 51 52 * * 55 * * * 59 60 
* 58 59 60 * * * * * * * * 69 * * * * 74 * * 77 * * 80 81 * * * 85 * * 88 89 90 91 92 * * * * * * * 100 1 * * 4 * * * 8 * * 11 * 13 14 * * * * * 20 * * * 24 25 * 27 28 29 * * 32 * 34 35 * * 38 39 40 * 42 * * * * * 48 49 50 51 * 53 54 * 56 
* * * 87 * * * * 92 * 94 95 96 97 * 99 100 * 2 * 4 * 6 * * 9 10 * * * * * * * * * * 21 22 * * * 26 27 * 29 30 * 32 33 34 35 * 37 * * * * * 43 * 45 46 47 48 49 * * * 53 54 * 56 * 58 59 60 * 62 63 64 * * * * * 70 71 * 73 * * 76 * 78 79 * * * * 
* * * 48 * * 51 * 53 54 * * * 58 59 60 * * * * * * * 68 69 * * 72 * 74 * 76 77 78 * * 81 82 83 * 85 * * 88 * 90 * 92 * 94 * * * 98 * * * 2 3 4 5 * * 8 * 10 * 12 13 14 * * * * * * * 22 * 24 * 26 * 28 29 30 31 * * * * * 37 38 39 * 41 42 * * 
7 * * 10 * * * 14 15 * * * * * * * * 24 25 * 27 28 * 30 * 32 33 34 * * * * * 40 * 42 43 44 45 * * * 49 * 51 * 53 54 * * * * * 60 * 62 * * * * 67 * 69 70 71 * * 74 75 * * * 79 * * * 83 * 85 86 * * * 90 * * * * * * 97 * 99 100 * 2 * * * 6 
* 84 * * 87 88 * 90 * * * 94 * * * * 99 * 1 2 3 4 * 6 * * * * 11 * 13 * * 16 * 18 19 * * 22 * * 25 * 27 * 29 * * * 33 * * 36 * * * * * * * * * * 47 * 49 50 * 52 * * * * 57 * 59 * * * 63 * 65 * 67 68 * * * 72 * * * * * * * 80 81 * 
* * * * 27 28 * * 31 32 * 34 * * 37 * * 40 41 42 * * * 46 47 * * * * * 53 * * 56 * * 59 * * * * 64 * * 67 68 * * * 72 * * 75 76 * 78 79 80 81 82 * 84 * 86 * * 89 * * * * 94 * * * * * * 1 * 3 * * * 7 8 * 10 * * * * * 16 * 18 19 * * 22 
94 * * 97 98 * * * 2 * * * 6 7 8 * * * 12 13 * 15 16 * 18 * 20 21 * 23 * 25 * * * * * * * 33 34 35 * 37 38 * * * * * * * 46 47 * * * * 52 53 * * * * 58 59 * 61 * 63 64 * 66 * 68 * * * * * * * 76 77 * * * * 82 * 84 85 86 * * * 90 91 92 93 
56 57 58 * * 61 * * 64 * 66 67 68 * * * 72 * * 75 76 * 78 79 * * * 83 84 * 86 87 * * * 91 * 93 94 * 96 * 98 * 100 1 * * * * * 7 * * 10 * * 13 14 15 * * * * * * * * 24 25 26 * * * * * * 33 * * 36 37 38 * 40 41 * * 44 * * * * 49 * * * * * * 
* * * * 47 * 49 * * 52 * 54 55 * * * * 60 * 62 * * * * 67 * 69 * * * * * * 76 * * * * * * 83 * 85 86 * 88 * 90 * 92 * * * 96 97 * * 100 * 2 * * * * * * 9 * * 12 13 14 15 * 17 * * * * * * 24 * 26 * * 29 30 * * * * * * 37 * 39 40 * * 
25 26 27 * * 30 * 32 * * * * * * 39 40 * * 43 * * * 47 * * * * 52 * * * 56 57 58 59 * 61 * * * * * * 68 * * 71 * 73 * 75 * * 78 79 80 * 82 * 84 * 86 87 * * * 91 * 93 * * 96 * 98 * * 1 * * * * * 7 8 * 10 * * * * 15 * * * * * 21 22 23 * 
* * 88 * 90 * * 93 * 95 96 * 98 * 100 1 * * * * 6 7 8 9 10 * 12 13 * 15 16 * 18 * * * * 23 * * * * * * * * * * * * 36 * * * * * * 43 * * 46 47 * * * 51 52 53 * 55 * * * 59 * * * * * * * * * 69 * * 72 * * 75 76 * * 79 80 81 * * * * 
* * * 39 * 41 * * * * 46 * * * * * * * 54 * * * * * * 61 * * 64 * * * 68 * 70 71 72 * * * * * 78 79 * 81 * * * 85 86 * 88 89 * * 92 * * * * * * 99 * 1 2 * * 5 6 7 * * 10 * * * * 15 * * * * * 21 * * * * 26 * * * * * * 33 34 * 
* 54 * * * 58 59 * * * * * * * 67 68 * * 71 * * * * * 77 * 79 * * * 83 * * 86 * * 89 90 91 * * 94 * 96 * * 99 * 1 * 3 * 5 6 * * * * 11 12 13 * * * * * * * 21 * 23 24 * * * 28 * 30 * * * * * 36 37 38 * * 41 * * 44 * * * 48 * * * * 
* 86 87 * 89 90 91 * 93 94 * 96 * 98 99 * * * 3 4 * * * 8 * * 11 12 * 14 15 * * * 19 * * * * * * 26 * * * 30 * 32 33 * 35 * * 38 * * * * * 44 * 46 * 48 * * * * * * 55 * * * * * * 62 * 64 * 66 67 68 * * * 72 73 74 75 76 77 78 * * * 82 83 * 
* 3 4 5 * * * 9 10 * * 13 * * * 17 * * 20 21 * * * * * * 28 29 30 31 32 * 34 35 * * * * * 41 * * * * * 47 48 * 50 * 52 * * * * 57 * * * * 62 * * 65 * * 68 * * * 72 73 * * * * 78 * 80 81 82 * * * 86 * * * 90 * 92 * * 95 * * * 99 * * 
* 16 * * * 20 21 22 23 24 25 * 27 * 29 * * * * * * * * * 39 * * * * * * * 47 * * 50 * * 53 54 * * 57 * 59 60 61 * 63 64 * * * 68 * * * * * * 75 * * * 79 80 81 * * * 85 86 * 88 89 * * 92 * * * * * * * * 1 * * * * 6 * 8 * * 11 * 13 14 
* * * 62 * * * * 67 68 * * * 72 * * * 76 * * 79 * * 82 83 84 * 86 87 * * 90 * 92 93 94 * * * * * * * * 3 4 * 6 7 * 9 * * * * * * * * 18 19 * * * 23 24 25 * * * * * * 32 33 * 35 * * 38 39 * * 42 * * * * * 48 49 * 51 52 * * * * 57 * 
* 93 * * 96 * * * 100 * * * * 5 6 7 * * * * * 13 * * * 17 * * * 21 * * 24 * 26 27 28 29 * * * * 34 35 * 37 38 * * * 42 43 * 45 * 47 * 49 * * * 53 * * * * * * 60 61 62 63 * * 66 67 * * 70 * * * 74 * 76 * 78 * 80 81 * * 84 85 86 * * * * * 
* 53 * 55 * * * 59 * * * * 64 * * * 68 69 70 * * * * * * 77 78 * 80 81 * * 84 * * 87 * 89 * * * 93 94 * * 97 * 99 * 1 * * * * * 7 * * 10 11 12 * * 15 * 17 * * * 21 * * 24 * * 27 * * * 31 * * * * 36 * 38 39 * 41 42 * * 45 * 47 * 49 50 * 
68 * * * * * 74 75 * 77 78 79 * 81 * 83 * 85 * 87 * * * 91 * * 94 * * * 98 99 * * * * 4 * 6 * 8 * 10 * * 13 14 15 * 17 18 19 * 21 * * 24 * * * * * * * 32 33 * * * * * 39 * * 42 * * 45 46 * 48 49 50 * * * * * * 57 58 59 60 61 62 * * * * 67 
* 77 * * 80 * * * 84 * * * 88 * * * 92 * 94 * * * * 99 * 1 2 * * * 6 7 8 9 10 11 * * * * * * 18 * * 21 * 23 * * * * * * * * 32 * * * 36 37 * * 40 41 * * 44 * 46 * 48 * 50 * * * * * 56 * * * 60 * * * * * 66 67 68 * * * * * 74 * 
33 34 35 * 37 38 * 40 * 42 43 * 45 * * 48 * * 51 52 * * * * 57 58 * 60 61 * 63 * 65 * * 68 * * 71 * * * 75 * * * * 80 * * * 84 * 86 87 * * 90 * 92 * 94 * * * 98 * * * * * * * 6 7 * * * * 12 * * * * 17 18 19 * * * * * * * * 28 * * * 32 
31 * 33 * * * 37 * 39 40 * * 43 44 * 46 47 48 * * * * 53 54 * * * * 59 60 * * 63 * 65 66 * 68 69 * * 72 73 * * * 77 * * * * * 83 * * 86 * * * * * * * * * * * * 99 100 1 2 * 4 5 * * * * * 11 * * * * * * 18 19 * * * * * 25 * * * 29 * 
* * * * * * * 54 * 56 * 58 * * * 62 * * * * * 68 * * * * * * * * * * 79 * * 82 * * * * * * * 90 91 92 * * * 96 * 98 99 * * * * * 5 * * * 9 * 11 12 13 14 15 16 17 18 19 * * * * 24 25 26 * 28 * 30 * 32 * 34 35 * * 38 * * * * 43 * 45 * 
* * 6 * * * 10 * * 13 * * * * * * * 21 * * * * * 27 * * * 31 * 33 34 35 * 37 * 39 40 * 42 * * * * 47 * * * * 52 * * * * * * * * * * * 64 * * * * 69 70 71 * * 74 75 * * * * * 81 82 * * * * 87 88 89 * * 92 * 94 * * * * * * 1 * * 
