* 9 10 * * * 14 * 16 * 18 * * * 22 * * * * * 28 * 30 1 * 3 * 5 * * 
17 18 * * * * * * * * * * * * * * 3 * 5 6 * 8 * 10 11 12 * 14 * * 
* 2 * * * 6 * * * * * * 13 * * 16 * * * * * * * * * * * * 29 30 
* 21 22 * 24 * 26 * * * * * * * * * 6 * 8 * * * 12 * * * * 17 * * 
* * 9 10 * * * 14 * * * * * * 21 * 23 24 25 * * 28 * * 1 2 3 * * * 
* * * 12 13 * * * 17 * 19 * * 22 * * * * * 28 * 30 1 * * 4 * * 7 8 
* 24 * * 27 * * 30 * * * 4 * * 7 8 * * * 12 * * 15 16 * * * 20 * * 
* 17 * * * * * * * 25 26 27 * * * * * 3 4 * 6 * * * * * * * * * 
27 * 29 * 1 2 3 * * 6 * * 9 10 11 * * * * 16 17 18 19 * 21 * 23 * * 26 
* * * 16 17 18 * 20 21 * * 24 25 * 27 28 * 30 * * * 4 5 6 7 * 9 10 * * 
* 26 * * * * * 2 * 4 * * * * * * * 12 13 14 * * 17 * * 20 21 * * 24 
* * * * 2 3 4 5 6 * * 9 10 11 12 13 * * 16 * * * 20 21 22 * * 25 * 27 
* * * * * * * * 13 * * * * 18 19 * 21 * 23 24 25 26 27 28 29 * * * * 4 
14 * * 17 18 * * * 22 23 * 25 * * * * 30 * * * * * 6 7 * * 10 * 12 * 
* * 2 3 * * 6 7 * * * 11 12 * * 15 16 17 18 19 20 21 * 23 * * 26 * * * 
* * 4 * 6 * 8 * * * * 13 * 15 * * * 19 * 21 22 * 24 * * * * * * * 
* 16 * * * * 21 * * * * * 27 * * 30 * 2 3 4 5 6 7 * * 10 * * * * 
* 23 24 * * 27 * 29 * * 2 * * * 6 * * * * * 12 * 14 * * * 18 * 20 21 
* 4 5 6 7 8 * * * * 13 * * 16 * 18 19 * 21 22 * * * 26 * * * 30 * 2 
* * * 24 * * * * 29 * * * * * 5 * * 8 9 10 * * 13 14 * 16 * 18 * 20 
6 * 8 * * * * * * * * * * * 20 21 22 * * * * * * 29 * * * * * 5 
* * 20 21 22 * * * * * * * 30 * * 3 * * 6 * 8 * * * * * 14 15 16 17 
* 27 * 29 * 1 2 * * * 6 * * * * 11 12 13 * * * * 18 * * * 22 23 24 * 
* 30 * 2 * * 5 * 7 * 9 * * 12 * * * 16 17 * 19 20 21 * * 24 25 26 * 28 
* 20 21 22 23 24 25 26 27 28 * * 1 2 3 4 * * 7 * * * * 12 13 * * * * 18 
4 * 6 * * 9 10 11 * * 14 15 16 17 * * * * * * 24 * * * * * 30 * 2 * 
* * 12 13 14 * 16 17 * 19 * 21 22 * * * * * * * 30 * 2 3 * * * * 8 * 
* * * * 15 * * * 19 * 21 22 * 24 * * 27 28 29 30 * * * * * * 7 * * * 
* * 14 15 * 17 * * 20 21 22 23 * * * 27 * 29 * * * 3 4 * 6 * * * 10 11 
* 25 * * * * * * 2 * * * * 7 * * * * * * * * * * * 19 * * 22 * 
