8 9 10 * 12 13 14 * 16 17 18 * 20 * 22 * * * 26 * 28 29 30 1 2 3 4 5 * 7 
17 18 19 * 21 * 23 24 * * 27 28 * * 1 * 3 * 5 6 7 8 9 10 11 12 * 14 * * 
1 2 * 4 * 6 * 8 * * * 12 13 14 * 16 * * 19 * * * * 24 * * 27 28 29 30 
* 21 22 * 24 * 26 27 28 * * * * 3 * * 6 * 8 * * * 12 13 * * * 17 * * 
* * 9 10 * 12 * 14 15 * 17 * 19 * 21 22 23 24 25 26 27 28 * 30 1 2 3 * 5 * 
9 10 * 12 13 * * 16 17 * 19 20 * 22 23 * * 26 27 28 * 30 1 * * 4 5 6 7 8 
* 24 25 * 27 * * 30 * * * 4 * 6 7 8 9 * * 12 * * 15 16 * 18 * 20 * 22 
* 17 18 19 * * * * * 25 26 27 28 * 30 * 2 3 4 * 6 * * 9 * * * * * 15 
27 * 29 * 1 2 3 * * 6 * 8 9 10 11 * 13 14 * 16 17 18 19 20 21 * 23 * * 26 
* * * 16 17 18 * 20 21 22 23 24 25 * 27 28 * 30 1 2 * 4 5 6 7 * 9 10 * * 
25 26 27 * 29 * 1 2 * 4 * 6 * * * 10 * 12 13 14 * * 17 * * 20 21 22 * 24 
28 29 * * 2 3 4 5 6 7 8 9 10 11 12 13 * * 16 17 * * 20 21 22 * * 25 * 27 
* * * * 9 10 * * 13 * 15 * 17 18 19 20 21 * 23 24 25 26 27 28 29 * * * * 4 
14 15 16 17 18 * * * 22 23 * 25 26 * * * 30 * 2 * * 5 6 7 * 9 10 11 12 * 
* 1 2 3 4 5 6 7 * * * 11 12 * * 15 16 17 18 19 20 21 * 23 * * 26 27 * * 
* * 4 5 6 * 8 * * * * 13 14 15 * * 18 19 * 21 22 * 24 25 * * * * * * 
* 16 * 18 * * 21 22 * * * 26 27 * 29 30 1 2 3 4 5 6 7 * * 10 * 12 * 14 
22 23 24 * * 27 28 29 * 1 2 * * 5 6 * * 9 * * 12 * 14 * * 17 18 19 20 21 
* 4 5 6 7 8 9 10 * * 13 14 15 16 * 18 19 20 21 22 * * 25 26 * * * 30 1 2 
* * * 24 25 * 27 28 29 * 1 2 * * 5 * * 8 9 10 * * 13 14 15 16 * 18 * 20 
6 7 8 9 10 11 * * * 15 * * 18 * 20 21 22 * 24 * * * * 29 30 1 * * * 5 
18 * 20 21 22 * * 25 * * 28 * 30 * 2 3 * 5 6 * 8 * * 11 * * 14 15 16 17 
26 27 28 29 * 1 2 3 4 * 6 * * * 10 11 12 13 14 15 * * 18 * * * 22 23 24 * 
* 30 * 2 * * 5 6 7 8 9 * 11 12 13 * 15 16 17 18 19 20 21 22 * 24 25 26 27 28 
19 20 21 22 23 24 25 26 27 28 * 30 1 2 3 4 5 * 7 * * 10 * 12 13 14 15 * 17 18 
4 * 6 * * 9 10 11 12 * 14 15 16 17 * 19 20 * 22 * 24 * * 27 28 * 30 1 2 * 
* 11 12 13 14 15 16 17 * 19 * 21 22 * * * * * * 29 30 * 2 3 * * * * 8 9 
11 * * * 15 * 17 * 19 * 21 22 * 24 * * 27 28 29 30 * * * * * 6 7 8 9 * 
* 13 14 15 * 17 * * 20 21 22 23 24 25 * 27 28 29 30 1 2 3 4 5 6 * * * 10 11 
24 25 * 27 28 * * 1 2 * 4 * * 7 8 * * 11 * * 14 15 16 * 18 19 * * 22 * 
