2 * * * * 7 * * 10 11 12 * * 15 * * * * 20 21 * 23 * 25 * 27 28 29 * * * 33 * * 1 
* 20 21 * 23 * 25 26 * 28 29 * 31 * * * * 1 2 * * 5 6 * * * 10 * 12 13 14 * * 17 * 
18 * * 21 22 23 * * * * * * * * * 33 34 35 * * 3 4 * * 7 * 9 10 * 12 * * 15 16 17 
* * * * * 10 11 * * * 15 * * * 19 * 21 22 * * * 26 27 * 29 * * * * 34 * * 2 * * 
* 9 10 * * * 14 * 16 * 18 19 * 21 * * * * 26 * 28 * * 31 * * * * 1 * * 4 * 6 7 
* 34 * * * * * * * 7 * 9 * * * * * * 16 * 18 * * * 22 23 24 * 26 27 * 29 * * 32 
24 * * 27 28 * * * * 33 34 * * 2 3 4 5 * * * * * * 12 * 14 15 * * * * * * 22 23 
* 7 * 9 * 11 * * * 15 * * * * * 21 * 23 24 * * * * * * 31 32 * 34 35 1 * * * * 
* 32 33 34 * * * 3 4 * 6 7 8 9 * * * 13 14 * 16 * 18 * 20 21 22 * 24 * 26 * 28 29 * 
* 18 * * * * * 24 25 26 27 28 * * 31 * * * * 1 * * * * * 7 * * * 11 * * 14 * * 
20 * * * * * * 27 * 29 30 * * 33 34 * * * 3 4 5 6 * 8 * 10 11 * * * * 16 * * 19 
26 * 28 * * * 32 33 * * * * 3 * * * * 8 9 * * * 13 14 * 16 17 * 19 * 21 * * * * 
* * 6 7 * * 10 * 12 13 * * 16 17 * 19 * 21 * * * * 26 * 28 * * * * * * 35 * 2 * 
* * * * * * 15 * 17 * * 20 * * * * * * 27 28 29 * 31 32 * * * * 2 * * 5 6 * * 
* * 9 * 11 12 * * 15 * 17 * 19 * 21 * * 24 25 26 27 * 29 * * * 33 34 * * 2 * 4 5 * 
21 * 23 24 * 26 * 28 * * 31 32 33 * * 1 * 3 * * * 7 * * 10 * 12 * * * 16 * * * * 
* * 25 * * * 29 30 * * * 34 35 * 2 * * 5 6 * 8 * 10 * * * 14 * 16 * * 19 20 21 * 
* 14 * 16 * 18 * * 21 22 * 24 25 * * * * * * 32 33 * * * * * 4 * * * 8 * * * * 
16 17 * 19 * * * * * * * 27 28 * * * * 33 34 35 * * * * * 6 7 8 9 * 11 * 13 14 * 
* * * * * 19 * 21 * * * * * * * * * * 32 33 34 * 1 * 3 4 * * 7 * 9 * * * * 
29 30 * * * * * * 2 3 4 5 6 * 8 * * * * 13 * * 16 17 * * 20 * * * * * * 27 * 
* 13 * * * 17 * 19 * 21 * 23 24 * * * * * * 31 * * * 35 1 * * * * * 7 * 9 * 11 
* 35 * 2 * 4 * * 7 8 * * * * * * * * 17 * * * * * * * * 26 * * * * 31 32 33 
* 11 12 13 * * 16 * * * * * * * 24 * 26 27 * * * 31 * * 34 35 1 * 3 * * 6 7 * * 
32 * 34 35 * * * 4 5 6 * * 9 * * 12 * * * * 17 18 * * 21 * * 24 * * * * * 30 * 
* * * * 19 * 21 * * * * * * * * * 31 * 33 * * 1 * * 4 * 6 * * 9 * 11 * 13 14 
* 4 5 6 7 * * 10 11 * 13 * * * * * 19 20 * * 23 24 25 * 27 * * * 31 * 33 * * * 2 
* 28 29 * * * 33 * * * * 3 * 5 * * * 9 * * * 13 14 * 16 * * * 20 21 * 23 * * * 
* * 24 * 26 * * 29 30 31 * 33 * * 1 2 * 4 5 * 7 * * 10 * * * 14 * 16 17 * 19 20 21 
* * * 4 * * * * * 10 * * 13 * * * * 18 19 * 21 22 * * 25 * * * 29 30 * * 33 * * 
28 29 * * * 33 * * * 2 * * 5 * * * * * 11 12 * * * 16 * * * 20 21 * 23 * 25 * * 
* * 32 * 34 * 1 2 * 4 * * * 8 * * * * * * * * * 18 19 20 * 22 23 * * 26 * 28 * 
35 * * * * * * 7 * * * 11 * 13 * * * 17 * * 20 * * * * * 26 * * 29 30 * * * * 
* * 27 28 * * * * 33 * * * * 3 * 5 * * * * * * * * 14 15 16 * * * * * 22 * 24 
* * 13 * 15 * 17 18 * * * 22 * 24 * * 27 * * * * * 33 34 35 * * 3 4 * 6 7 8 * * 
