* 3 4 * * * * * * * * 13 * * 16 17 * * * * 22 23 24 * * * 28 29 30 * 32 33 34 * * 37 * 39 * * * * 44 * * 47 48 * 50 * * 53 * 55 * 
19 20 21 * 23 * 25 * * 28 29 * * 32 * * * 36 * * 39 * * 42 * 44 * 46 * * * 50 51 * 53 54 * * * * * * * * 8 * * * 12 13 14 15 16 17 18 
* 39 40 41 42 * * * * 47 48 49 * * * 53 54 55 1 2 * 4 * 6 * * 9 * * * * 14 * 16 * 18 * * 21 * * * * 26 27 28 * * 31 32 * 34 * * 37 
* * 48 * * * 52 * 54 * * * * * * * * 8 9 * 11 * * * 15 * 17 * * 20 * * 23 24 25 26 * 28 29 * * 32 * * * * 37 * * * * 42 * 44 * 
8 9 10 11 12 13 * * * 17 18 * * * * 23 * 25 * * * * * * * * * * * * * 39 40 41 * 43 44 * * 47 * * * * * * * * 1 2 * 4 * * * 
33 * 35 * * * * * * 42 * 44 45 * * 48 49 50 * * 53 54 * * * 3 4 * * 7 * * 10 * * 13 * 15 * * * 19 * * 22 * 24 * 26 * 28 * * 31 * 
* * 49 * 51 * 53 54 * * * * 4 * * * 8 * 10 * * * * * * * * * * 21 22 * * 25 26 27 * 29 30 * * * 34 35 * * 38 * * * * * * * 46 
52 * 54 * 1 2 3 * * * * 8 * * * 12 13 14 * * 17 * 19 * * * * 24 * 26 27 28 29 * * 32 33 * * 36 37 * 39 * 41 * * 44 45 * * 48 * * * 
* * * * * 36 37 38 * * * * * 44 45 46 * 48 * 50 * * 53 * 55 * * 3 4 * * * * * * 11 12 * * * 16 * * * * * * * * * 26 * * * * 
44 45 46 * * 49 * * 52 * * 55 1 2 3 * * * * 8 * * * * 13 * * * 17 * * * * * 23 * * * * * * * 31 32 33 * 35 * * 38 39 * * * * 
* 21 * 23 24 * 26 * 28 * * 31 * 33 34 35 * 37 * * 40 * * 43 * 45 46 * * 49 * * * 53 * * 1 * 3 * 5 * * * * * * 12 * * * * * * * 
* * 28 29 * * * * 34 * 36 * * * 40 * 42 * 44 45 46 * 48 * * * 52 53 * * * * 3 * * * * * * * * * * 14 15 * 17 * * * * * 23 * 25 
4 5 6 7 * * * 11 12 13 * * * * 18 * 20 * 22 23 * * * * * 29 30 * 32 * 34 * * * * * * * * 43 44 45 46 * * * * 51 * * * 55 1 * * 
* 55 * * 3 * * 6 7 * 9 10 11 12 * 14 * * 17 * * * 21 22 * * * * 27 28 * * * 32 * * * * 37 * 39 * 41 * * * 45 * * * * 50 * 52 53 
7 * * 10 * * 13 * * * * * * 20 21 22 23 * 25 * 27 * 29 30 31 * * 34 * * * * 39 * 41 * 43 44 45 * * * 49 * * * 53 54 55 * * * * * * 
* * * * * * 27 28 * * 31 32 * * 35 36 37 * 39 40 41 42 * 44 * * * 48 49 * 51 52 53 54 55 1 2 * 4 * * 7 * * * * 12 * 14 * * 17 * * * 
23 * * 26 27 28 * 30 * 32 * * * * * * * * * 42 43 * * 46 * 48 * * * * 53 * * * * * 4 5 * * 8 9 * * * 13 * 15 * * * * * * * 
* * 43 * * * * 48 49 * * * 53 * 55 * * * 4 5 * 7 * 9 * 11 * 13 * * 16 * * * * 21 * * 24 * 26 27 * 29 * * * 33 * 35 * 37 38 * 40 
16 * 18 * * 21 22 23 * * * * * * 30 31 32 * * * 36 * * * * 41 * * * * * * 48 * 50 * 52 53 54 55 * * * * 5 * 7 8 9 * * * * 14 15 
* * * * 18 * 20 21 * * 24 * * * * * * * 32 * * * 36 * * * * 41 * * 44 * * 47 48 * * * * * * * * 2 * * 5 6 7 * * * * 12 13 
29 * 31 32 * * * * 37 * 39 * * 42 * * * * * * * * * * 53 54 * 1 * * 4 5 6 7 * * * * * * * * * 17 18 * 20 * * * 24 25 * 27 * 
12 13 * * 16 * * 19 * 21 22 23 24 25 * * 28 29 30 31 * * * * 36 * * * 40 * * 43 * 45 * * * * * * * 53 * * * * * * * * 7 * * * * 
* * * * 41 42 * 44 * * * * * * * 52 53 * 55 1 * 3 * 5 * * * * 10 11 * * 14 * 16 * * * * * * 23 * * * * 28 * 30 31 * 33 * * 36 
10 11 * * * * * 17 * * * * 22 * * * 26 * * 29 * * 32 33 34 35 36 * 38 * * * 42 43 * 45 46 47 * * * 51 * * * * * 2 * * * 6 7 8 * 
48 49 * * * 53 54 * * 2 * * * 6 7 * * * * * 13 * * * * 18 19 20 * 22 * 24 * 26 27 * 29 * * 32 * 34 * * * 38 * * * * * * 45 * * 
15 * * 18 * 20 21 * 23 24 25 * * * * 30 * 32 * * 35 * * * 39 * 41 42 43 * * * 47 * 49 50 51 52 53 * * * * 3 * 5 6 * * 9 * * * * * 
3 * 5 * 7 * * * * 12 * * 15 * * 18 19 * * * * 24 * 26 * * * * * 32 * * 35 * 37 38 * 40 * * 43 * * 46 * * 49 50 * * * * * * * 
