* 9 10 * * 13 * 15 * 17 * 19 20 21 * * * * * * * * 30 31 * 33 * * * * 38 * * * * * * * 46 * 48 49 * * 52 * * * 56 57 58 * * * * 3 * 5 6 7 
* * 59 60 * 2 * 4 5 6 * * * * * * 13 * 15 * * * * 20 * 22 * * 25 26 * * 29 * * * * * * * * * * 40 * * * * 45 * * * 49 * 51 52 53 54 * * 
* * 50 51 52 53 * 55 56 * 58 * * * * * * * * * * * * * * * * 15 * * 18 19 * * 22 23 * 25 * * * 29 30 31 * * * 35 * * 38 39 * 41 42 43 * * * 47 
* 46 47 * * * * * 53 54 * * 57 * * * 1 2 * * 5 * * * * * 11 * 13 14 * * * * * * 21 22 * * 25 26 * * * 30 * * 33 * * * 37 * * * 41 * * * 
7 * 9 * 11 * * * 15 * * * * 20 * * * 24 * * * * * 30 31 * 33 * * * * * * * * * * 44 * 46 * * * 50 * 52 53 54 * 56 * * 59 60 1 2 * * * * 
9 10 * * 13 * * 16 17 18 19 * * 22 23 24 * 26 * 28 * 30 31 * * * * * * * 39 * * 42 43 * 45 46 * 48 * * 51 * 53 54 * * * * 59 60 * * * 4 * * 7 * 
* 24 25 * 27 28 29 30 * * * * * * 37 38 * * * * * * * * 47 * 49 * 51 * * 54 * 56 * 58 * * * * * 4 * * * * * * 11 * * * * 16 * 18 19 * * * 
51 * 53 * * 56 * * 59 * * 2 * * * * 7 * * 10 11 * 13 * * * * * * * * * 23 24 * * 27 * * * 31 * * * * * * * * 40 * * * * * 46 47 * * * 
* 57 * 59 * * * * * * * * 8 9 * * 12 * * * 16 17 18 19 20 21 * * 24 * 26 27 28 29 * 31 32 * * 35 * 37 * * * * 42 * * * 46 * * 49 * * * * 54 * 
* 44 45 * * 48 49 50 * * * * 55 56 57 * * 60 * * 3 * 5 * 7 8 9 * * * * 14 * * 17 * * 20 21 * 23 * 25 * 27 28 * * * 32 * 34 35 * 37 38 39 40 * * 
* 26 27 * 29 * 31 * 33 * 35 36 37 * * * * * * 44 * 46 * * 49 * * * * * * * 57 58 59 * * 2 * 4 * * * * * 10 * * 13 14 15 16 17 18 * * * * 23 * 
* 29 30 * * 33 * * 36 37 * * 40 * * * 44 * 46 * 48 * * 51 * * 54 55 56 * * * * * * * * * * 7 8 * * * * * * * * 17 * * * 21 * * 24 * * * 
* * * 39 * 41 * * * 45 46 * 48 * 50 * 52 * * 55 * 57 58 59 * * 2 * 4 * 6 * 8 * 10 11 12 * * * * * * 19 20 21 22 * 24 25 * * * 29 30 * * 33 * * 
53 54 * 56 * * 59 * * 2 * * * * * * 9 * * 12 13 * 15 * * * 19 * * * 23 24 * * 27 * * * 31 * * * * * * 38 39 * * * * 44 * * * * * 50 51 * 
* * 32 33 34 * 36 37 * 39 * * 42 43 44 * 46 47 * 49 * 51 * * * * 56 57 * * * 1 2 * 4 5 * 7 8 9 * * * * 14 15 * * * * * 21 22 * * 25 26 * * 29 
* * 4 5 * 7 8 * 10 11 * 13 14 15 * * * 19 20 * * * * * 26 * * * * 31 * * 34 * * * 38 39 * 41 * * * 45 46 47 * * * 51 52 * 54 55 * 57 * * * 1 
15 16 * * 19 20 * * * * 25 26 * * * * * 32 * * 35 36 37 * 39 40 41 * 43 44 * * 47 * * * 51 * * 54 * 56 57 * * 60 * 2 * * * * 7 * * 10 * * * 14 
* * * * 3 4 5 * * 8 9 * * * * 14 * * * * * * * * * * 25 * 27 * 29 * 31 * * * 35 * 37 * 39 * 41 42 * 44 * 46 * 48 * 50 51 * * * * * 57 * 
* 4 5 6 * 8 9 10 * * * * * * 17 18 * * * * * * * * 27 * * * * * * * 35 36 37 38 * * 41 * * * * * * 48 49 * 51 52 * * * * 57 58 59 60 1 2 
* 53 54 * 56 * * * * * * 3 4 * * * * 9 * 11 * * 14 * * * * 19 * * * 23 24 * * * 28 * * * * * 34 * 36 * * * * * * * * 45 * * * 49 50 * 
6 * 8 9 * 11 12 * 14 * 16 * 18 * * * 22 23 * 25 * * * 29 * 31 32 33 * * 36 37 38 * * * * * 44 * 46 * 48 49 * * * * 54 * * 57 * * * * * * * 5 
18 * * * * * 24 * * 27 * * * * * 33 * * 36 37 * * * * 42 * 44 45 46 47 * * * 51 52 * * * * * * * 60 * * 3 4 * 6 * 8 * * * 12 * 14 15 * * 
* * * 36 * 38 * * 41 42 * 44 * 46 * 48 49 * * * * * * 56 * * 59 60 * * * 4 5 * * 8 * * 11 * * * * 16 17 18 * 20 21 22 23 24 * * 27 * * * 31 32 
* 32 * 34 * * * * * 40 * 42 43 * 45 * 47 48 49 * 51 52 * * * 56 * 58 * * * * 3 * * * * * 9 10 11 * 13 * * * * * * 20 21 * 23 * * * * 28 29 * 
* * 49 * * 52 * 54 * * 57 * 59 60 1 * * 4 * * * * 9 * * * * 14 * 16 17 * 19 * * 22 * * * * * 28 29 30 * * * 34 35 * * * * * * * * * 45 * 
* * * * * * 10 11 12 * 14 15 16 * 18 * * * 22 * 24 25 26 * * * 30 31 32 * 34 * * * 38 * 40 41 42 43 44 * 46 * 48 49 50 * * * * * * * * * * 1 * * 
