62 63 * * * * 68 69 * * * * 74 75 * 2 3 * 5 6 7 8 * * * * * 14 15 16 17 * 19 * 21 * * * * * * * 29 * 31 * 33 34 * 36 * * 39 * * * 43 * 45 * 47 * * 50 51 * 53 54 * 56 * * * 60 * 
* * 60 * * * 64 * * * * * * 71 * 73 * * * 2 * * * * * 8 9 10 * 12 * 14 * * * * * * * * * * 25 * * 28 * 30 * 32 33 * 35 36 * 38 * 40 41 * 43 44 45 * * * 49 * * * 53 * * * * 
* * * * 42 * * * * 47 48 * * * * 53 54 55 * * 58 59 60 * * * * * * * * 69 70 71 * * * * * * * * * 6 7 * * 10 * * 13 * 15 * * 18 * * 21 * * * * * * * 29 * 31 * * * 35 36 37 
46 * 48 49 * * * 53 54 * * * * * 60 * * 63 * * * * 68 * * 71 * 73 * 75 * * 3 * * * 7 * * 10 11 12 * * * 16 * 18 19 * * * * * * * * 28 29 30 * 32 33 34 * 36 37 * * * * * * * * 
8 * * 11 * 13 * 15 * * * * * * 22 * * 25 * * * * * * * * 34 * 36 37 * * * * * * * * 46 * 48 49 * 51 * * * 55 * * 58 * * * * 63 64 * * 67 68 69 70 * * * 74 75 1 * * 4 5 * 7 
33 34 * 36 * 38 39 40 41 * 43 * * * * 48 * * 51 52 53 * * 56 * * * * * * * * 65 * * * * * * * 73 * 75 1 * 3 * 5 * * * * * 11 * * 14 * 16 * 18 * * * * 23 * * 26 27 * * 30 31 * 
* 62 63 * * * * * 69 * * * * * 75 * 2 3 4 5 * * * * 10 11 12 * 14 15 * 17 * * 20 * 22 23 24 * * 27 * * 30 31 * 33 34 * 36 * * * 40 * 42 * 44 45 * * * 49 50 51 * * * * * * 58 * * 
* * 2 * 4 * * * 8 * * 11 * 13 14 * * * 18 19 * 21 * * 24 * * 27 * * * * * 33 * * * 37 38 * * 41 * * 44 45 46 47 * * * * 52 53 * * 56 57 * * * * 62 * * * 66 67 68 * * 71 * * * 
* * * * * * 62 63 64 65 * 67 68 * * 71 72 * 74 * 1 * * 4 * 6 * * * * * * * 14 * 16 * * 19 * 21 * 23 24 * * * * * 30 * 32 33 * * 36 37 38 * 40 * * * 44 * 46 47 * 49 * * * 53 * * 
* 45 * * * * 50 51 * * * 55 56 * * * * 61 * * 64 * 66 * * * * * * 73 * * 1 * 3 * * * * * 9 * 11 * 13 * * 16 * 18 * 20 * 22 * 24 25 * * 28 * * 31 * * * * * * * 39 * 41 * * 
20 21 * * * 25 26 * * 29 30 31 32 * 34 35 * 37 38 * 40 41 42 * 44 * * * * * * * * 53 54 55 * * 58 59 60 61 * * 64 * * 67 * * * * 72 * 74 * 1 2 * 4 * * * 8 * * * 12 13 14 * * * * * 
