61 * 63 64 65 * * * * * 71 72 * * * * * * 79 * * 82 83 84 * 86 87 * * * 1 * * * * 6 * * * * 11 * 13 * * * 17 * * 20 * * * * 25 * * * * * * 32 * * * * 37 * * 40 41 42 * * 45 46 47 48 * 50 * * * 54 55 56 57 58 * * 
* * 59 * * * 63 * * * * * * 70 71 * 73 * * * 77 * * * * * * 84 * * * 88 89 90 1 * * * * * * * 9 * * 12 * * * 16 17 * * * * * * * * * * * * * * * 33 * * 36 * * * * * 42 43 * * * 47 48 * * * * 53 54 * 56 
* * * 87 * * * 1 2 3 * 5 * * * * * * * * 14 * * * * 19 20 21 22 * * * * * * 29 * 31 * 33 * 35 * * * 39 * 41 * 43 * * * 47 48 * * * * 53 * * * 57 58 59 * * * * * * 66 * * 69 70 * * * 74 * 76 * * * * 81 * * 
45 46 * 48 * * * * * * * 56 * * * 60 * 62 * 64 65 66 * * * 70 * * 73 * 75 76 77 * 79 80 * * * * * 86 * 88 * 90 * * 3 * * * * * * 10 * * 13 * 15 * * * * * * * 23 * * * * * * 30 31 32 * * * * 37 * * * 41 * * * 
* * * * * 12 13 * * 16 * 18 19 * * * * 24 * * * * 29 30 31 32 * 34 * 36 37 * 39 * * 42 * * * 46 * 48 * 50 51 52 * * * 56 * 58 * 60 * 62 * * 65 * * * * 70 * 72 * 74 75 * * * * 80 81 82 * 84 85 * * * 89 90 1 * 3 4 * 6 
83 * * 86 87 88 * * 1 2 * * * * 7 8 9 * * 12 * 14 15 16 * * 19 20 21 22 * * * * 27 28 * * 31 32 33 34 * * * * * 40 * * * * * * 47 48 * * * * 53 * 55 * * 58 59 * 61 * * 64 65 66 67 68 * * 71 72 73 * * 76 * * 79 80 * 82 
23 24 25 26 * * * * 31 * 33 34 * * 37 * * 40 41 * 43 44 45 * * 48 49 50 51 52 53 * * 56 * * 59 * * * 63 64 * * 67 * 69 70 * * 73 * 75 * * 78 * 80 * 82 83 84 85 86 * 88 * * * 2 * * * * * 8 * * * 12 * 14 15 * * * * 20 * * 
67 * 69 * * 72 * * * * * * * * 81 * * * 85 * * 88 * 90 1 2 * 4 * * 7 8 9 10 11 * 13 14 * * * 18 * * * * * * * * * * 29 30 * * * 34 * * 37 38 * 40 * * * * 45 46 * * * * * * * 54 * 56 * 58 * * * * * * * 66 
* 57 * 59 * 61 * * 64 * * 67 * 69 * 71 72 * 74 * * 77 * * * 81 * * * * * 87 88 * * * * 3 * * * * * 9 * * * * * * * 17 * 19 20 * 22 * * * * * 28 * * 31 * 33 * * 36 * * 39 * * * * 44 * * * * 49 50 51 52 53 * * 
* * 45 * 47 * * * * * * 54 55 56 * 58 * 60 * * * * * * 67 * * * * 72 * 74 75 * * 78 * 80 * * * * 85 * 87 * * * 1 * * * * * * * * 10 11 * 13 * * * 17 18 * 20 * * 23 * 25 * * 28 * 30 31 * * 34 * * * 38 * * * * 
* * * * * * 31 * 33 34 * * * * * 40 * * 43 * 45 * 47 * 49 * * 52 * * * 56 * 58 * * * * * * * * * 68 * 70 71 * 73 * 75 * 77 * 79 * 81 82 83 * * * * 88 89 * * * * * 5 * 7 * * 10 * 12 13 14 * 16 * * * * * * 23 24 
