* * 64 65 66 * 68 * * 71 72 73 74 * * * * 79 * * * 83 * * * * * 89 90 * * 93 94 * 1 * 3 4 * * * * * 10 * * * * * 16 * * 19 * * 22 23 * * * * * * 30 * * * 34 * * * * 39 * * 42 * * * * * * 49 * * 52 * * 55 * * * 59 * * 
58 * * * 62 * 64 * 66 * * * 70 * * * 74 75 76 77 * * * * 82 * * * 86 * * * 90 * 92 93 94 95 * 2 3 4 * 6 * * 9 10 * * * * 15 * * 18 * 20 * 22 23 24 25 * 27 * 29 * 31 * 33 * * * * * * * * 42 * * * * * 48 * * * 52 * * * * * 
77 * 79 * * 82 83 * 85 * * * * * * * 93 94 95 * * * 4 * * * * * * 11 12 * * 15 16 * 18 19 20 21 22 * 24 25 * * 28 29 30 31 * 33 * * 36 * * * 40 * * * * * * * * * * * * * 54 * 56 * 58 * 60 61 * * * * * 67 68 69 * 71 72 * 74 75 * 
* 47 * * * 51 52 * * * * * 58 59 * * 62 * * 65 * * * 69 * * * 73 * * 76 * * 79 * 81 82 * * * * * 88 * * 91 * * * * 1 2 * * 5 * * * 9 10 11 * * * * * 17 18 19 20 21 * 23 * 25 26 * 28 * * * 32 33 * * * * * 39 * * * * * 45 
* * 10 * * 13 * * * * 18 * 20 * * 23 24 25 * 27 28 * 30 * * * * 35 * * * * * * 42 * 44 45 * * * * * 51 52 * * 55 56 * * * * * * * * * * 67 68 * 70 * 72 73 74 75 76 * * * 80 * * * * 85 * * * * * * * * * * * 2 * * 5 * 7 
* 85 86 87 * 89 90 91 * 93 * 95 * * 3 4 * 6 * * * 10 11 12 13 14 15 * * * * * * * * * * 26 * * * * * * 33 34 35 36 * * 39 * 41 42 * * * * * * 49 * * * 53 * * * 57 * * 60 * 62 * 64 * 66 67 * * * 71 * * 74 * 76 * * * * * * 83 
61 62 * 64 * * 67 68 69 * * * 73 74 * 76 * * 79 * 81 * * * * * * * * * 91 * * * * * * 3 4 * 6 * * * 10 11 * * * * * * 18 * 20 21 * * * 25 * 27 28 29 * 31 * 33 * * * * * 39 40 * * * 44 * 46 47 * 49 * * 52 * * 55 * * * * * 
* * * 88 * * * 92 * * 95 * 2 * * 5 * * * * 10 * * 13 * * * 17 18 19 * * * * * 25 * 27 * * * * * * * * 36 * 38 39 40 * 42 * * 45 46 * * * 50 51 * * * * * 57 * * 60 * 62 * * 65 66 67 * 69 70 * * * * 75 * * * * 80 * 82 * * 
56 * * * * * * * * * * 67 * * 70 71 72 * * * 76 * * * * * * * * * * * * * * * 92 * 94 * * * * * * * 7 * * * 11 12 * 14 * * * * * * * 22 * * * 26 * * 29 * 31 * 33 34 * * * * * 40 * * * * 45 * * 48 49 * * * * * * 
* * * 92 * * 95 1 * * 4 * 6 * * 9 * 11 * * * * 16 17 * 19 * * * 23 * 25 26 * * * * * 32 * 34 * 36 * 38 39 40 * * 43 44 45 46 * * * * * * * * * * * * * * * 62 63 * * * 67 * * * * 72 * * * * * 78 79 80 81 * * * * * * 88 
* 21 * * 24 * * * 28 * 30 31 * * * * 36 * 38 39 * 41 * 43 * * 46 47 * 49 50 51 52 * * * * * * 59 60 61 * * * 65 * * * * 70 71 72 * * * * * * 79 * * 82 * * 85 * 87 * * * * * * * 95 * * * * * * * 8 9 * * * * * * * * * * 
